,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,pdockq_AH,pdockq_AL,pdockq_HL,pdockq,pdockq2_AH,pdockq2_AL,pdockq2_HL,pdockq2,LIS_AH,LIS_AL,LIS_HL,avg_LIS,contacts_AH,interface_plddt_AH,interface_pae_AH,contacts_AL,interface_plddt_AL,interface_pae_AL,contacts_HL,interface_plddt_HL,interface_pae_HL,total_contacts,avg_interface_plddt,avg_interface_pae,chain_plddt_A,chain_pae_A,chain_plddt_H,chain_pae_H,chain_plddt_L,chain_pae_L,chain_pair_pae_AH,chain_pair_pae_AL,chain_pair_pae_HL,avg_model_plddt,avg_internal_pae,avg_pair_pae,model_avg_RMSD,query_avg_RMSD,scaled_RMSD_ratio,scaled_model_RMSD,scaled_query_RMSD,iptm_A,iptm_H,iptm_L,ptm_A,ptm_H,ptm_L,chain_pair_iptm_AH,chain_pair_iptm_AL,chain_pair_iptm_HL,chain_pair_pae_min_AH,chain_pair_pae_min_AL,chain_pair_pae_min_HL,del_G_B,plddt_H3,plddt_L3
150,0.01,0.0,0.46,0.58,0.49,0.0867089274237427,0.0315503214300901,0.5144029175360898,0.5213477370851115,0.0118144777920032,0.0103688875920772,0.5888896995886105,0.0106238713855332,0.0,0.0,0.6791589085240906,0.2263863028413635,3215.0,67.3347169517885,23.28719696969697,549.0,70.56102914389801,22.5425,3768.0,90.0173779193206,2.8682851239669422,7532.0,75.9710413383357,16.23266069788797,83.18416981132077,5.134562814070352,87.27415741675075,3.1230376476377955,90.94392811296532,2.43132001493652,25.053251953125,24.82723798076923,4.070342548076924,87.13408511367895,3.562973492214889,17.983610827323716,18.345599277060693,26.32040672320545,0.6730274007351928,0.1767320295484578,0.0944427395276964,0.14,0.52,0.51,0.87,0.89,0.89,0.14,0.14,0.89,17.465,18.165,1.065,127.3486922518407,90.21,88.36125
151,0.0,0.0,0.45,0.58,0.48,0.0812706721845328,0.041671588448426,0.5269141141452963,0.5418650189193637,0.0118558211723114,0.010419924672067,0.5782381279209888,0.0106430754061444,0.0,0.0,0.674626762655191,0.2248755875517303,2984.0,67.82420743967829,23.281330128205127,648.0,71.43349537037037,22.542424242424246,3832.0,90.00248173277662,2.93176652892562,7464.0,76.4200615142751,16.251840299851665,83.27501257861637,5.132859296482413,87.0362663975782,3.153900098425197,90.83596919127086,2.4119958924570573,25.298751953125,25.343237980769235,4.118370643028846,87.04908272248848,3.5662517624548884,18.253453525641028,18.413792220246616,26.32040672320545,0.6713923482818311,0.1756549554843006,0.0944427395276964,0.13,0.51,0.51,0.87,0.89,0.89,0.14,0.13,0.89,18.24,18.475,1.0950000000000002,246.06748067895484,89.89714285714285,88.95249999999999
152,0.0,0.0,0.46,0.58,0.48,0.1000508087850789,0.0506846612709509,0.5348114986724617,0.5447801767780763,0.0120430626233698,0.010412970402021,0.5778159793339829,0.0110019870110332,0.0,0.0,0.6720571375673886,0.2240190458557962,3327.0,66.69627742711151,23.57589531680441,800.0,71.46770000000001,23.69470588235294,3857.0,89.92523593466424,2.974141414141414,7984.0,76.02973778725858,16.748247537766257,82.54506289308176,5.260592964824122,86.9835519677094,3.1574434055118106,90.7017586649551,2.4338218820014936,25.31206640625,24.95332451923077,4.147198016826923,86.74345784191541,3.617286084112476,18.137529647435898,18.78450538492958,26.32040672320545,0.6625378700212698,0.1699569538799957,0.0944427395276964,0.13,0.51,0.51,0.87,0.89,0.89,0.13,0.13,0.89,17.560000000000002,18.39,1.08,68.02956008152091,90.00857142857144,88.73375
153,0.01,0.0,0.46,0.58,0.49,0.0964147809764642,0.0650410219791183,0.5287375097034248,0.5510596942021867,0.0124011277972395,0.0109963775912501,0.5802504082385772,0.011603389555332,0.0,0.0,0.6767425839186559,0.2255808613062186,2484.0,67.40336956521739,22.180098522167487,1181.0,73.34149872988992,22.98208695652174,3731.0,90.18060305548109,2.900309917355372,7396.0,76.9751571168628,16.02083179868153,82.92742767295597,5.210625628140704,87.24253279515641,3.130413385826772,90.74903722721436,2.4085698282300223,24.993140625,24.73325961538462,4.0890812800480765,86.97299923177559,3.5832029473991667,17.938493840144233,30.484393775079266,26.32040672320545,0.4270883471219131,0.0721383108622395,0.0944427395276964,0.14,0.52,0.52,0.87,0.89,0.89,0.15,0.14,0.89,17.275,17.915,1.065,83.56175411777838,89.98857142857143,88.51875
154,0.0,0.0,0.43,0.56,0.46,0.1437033738804078,0.0918380077544187,0.4970228536098546,0.5618501520186042,0.0117806903456825,0.0098352052190097,0.5560631732289422,0.0103681351880576,0.0,0.0,0.6743399253342373,0.2247799751114124,2924.0,70.68075581395348,26.235,1225.0,78.8904244897959,28.973504273504275,3666.0,89.54102154937262,2.969040404040404,7815.0,79.70406728437399,19.39251489251489,82.53761006289308,5.0891306532663325,86.86660948536831,3.1521345964566923,90.39985879332475,2.406189320388349,27.2924921875,27.966802884615383,4.142228816105769,86.60135944719538,3.5491515233704582,19.800507962740383,58.93205451232914,26.32040672320545,0.1662998660993983,0.0203794553087726,0.0944427395276964,0.1,0.49,0.49,0.87,0.89,0.89,0.1,0.09,0.89,19.82,21.35,1.11,134.79207921506952,89.02,88.61375000000001
155,0.01,0.0,0.43,0.56,0.46,0.0284690720108543,0.0669846095862083,0.5046942323979354,0.5493782749892707,0.009615854811477,0.0101144814635227,0.5152942793957349,0.0099643843158032,0.0,0.0,0.66985720434443,0.2232857347814766,1620.0,58.0438024691358,24.64654605263157,1060.0,77.49746226415094,26.449122807017545,3699.0,89.36281697756152,3.132334710743802,6379.0,74.96802723694942,18.076001190130977,82.54679874213836,5.155087939698492,86.78374369323916,3.301919291338583,89.69924261874196,2.3900858849887974,27.123951171875,27.32081009615385,4.195083383413461,86.34326168470649,3.6156977053419577,19.5466148838141,29.60846410660303,26.32040672320545,0.4414125103984447,0.0761399001869694,0.0944427395276964,0.1,0.49,0.49,0.87,0.88,0.89,0.1,0.09,0.89,19.805,21.025,1.105,27.197339174305057,88.07285714285715,88.48625000000001
156,0.01,0.0,0.45,0.57,0.48,0.0931925963338337,0.067639294070495,0.5086366112485379,0.5384089157452477,0.0111679130059799,0.0099901865048182,0.5396937145604592,0.0104101408771043,0.0,0.0,0.6710727293503462,0.2236909097834487,3126.0,65.6903358925144,24.71825068870523,989.0,73.097350859454,25.51845238095238,3683.0,89.7289112136845,3.085151515151515,7798.0,76.1721993218843,17.77395152826971,82.95228930817609,5.115922110552764,86.83393541876892,3.277977362204725,90.20430038510912,2.391943614637789,25.969216796875003,25.91661057692308,4.170766977163462,86.66350837068471,3.59528102913176,18.685531450320514,21.05094077656389,26.32040672320545,0.6098778070512415,0.1401845292887211,0.0944427395276964,0.12,0.51,0.5,0.87,0.88,0.89,0.12,0.12,0.89,18.97,19.99,1.07,86.86123144738951,88.70142857142856,88.35874999999999
157,0.0,0.0,0.44,0.57,0.47,0.1137753530145107,0.0428009142399242,0.5023097120091584,0.5180956862255643,0.0112429781650313,0.0097708457067148,0.554518841351837,0.0102889696409528,0.0,0.0,0.6752751306964159,0.2250917102321386,3238.0,68.0940920321186,24.697428571428567,771.0,71.12422178988328,24.07179487179487,3666.0,90.09328150572831,2.96416490486258,7675.0,76.43719844257673,17.24446278269534,83.04325157232705,5.158256281407034,87.00426841574168,3.206176181102362,90.38541720154042,2.374010455563854,26.23502734375,26.34664903846154,4.1084397536057695,86.81097906320305,3.5794809726910835,18.89670537860577,19.9563943216382,26.32040672320545,0.6349680734827029,0.1535575378325329,0.0944427395276964,0.11,0.5,0.5,0.87,0.89,0.89,0.12,0.11,0.89,19.61,19.535,1.065,306.6113786298401,88.96428571428571,89.00625000000001
158,0.0,0.0,0.42,0.55,0.45,0.1284077788495071,0.0189829008777571,0.5005058124262096,0.5096257335963915,0.0095093626992061,0.0,0.5001479585039125,0.0094609394820004,0.0,0.0,0.6821054740920751,0.227368491364025,2571.0,68.2193971217425,29.883034647550776,22.0,79.45227272727273,29.65,3708.0,88.75037891046387,2.935729386892177,6301.0,78.80734958649303,20.82292134481432,83.13350943396226,4.949002512562814,86.67933400605449,3.204133858267717,90.23879332477534,2.3091859596713964,28.88966796875,29.04113942307692,4.062939453125001,86.68387892159735,3.487440776833976,20.66458228165064,60.50116076858555,26.32040672320545,0.1591406525004163,0.0193562709518065,0.0944427395276964,0.08,0.49,0.49,0.88,0.89,0.9,0.09,0.08,0.89,21.29,23.645,1.065,57.8611047795481,87.07571428571428,88.24375
159,0.0,0.0,0.43,0.56,0.46,0.1761317298804512,0.0196810835808775,0.4994839742685669,0.5017068236707647,0.0094642077021933,0.0090055256881289,0.5268949687822563,0.0087279495418869,0.0,0.0,0.6851628200029972,0.2283876066676657,4037.0,63.69835521426802,29.879401022644263,61.0,70.985,29.95,3552.0,89.93568693693693,2.7112012987012983,7650.0,74.87301405040165,20.84686744044852,83.14235220125788,5.044570351758795,86.72758829465188,3.169906496062992,90.4554428754814,2.295733756534728,28.55437890625,28.780492788461537,4.007095102163461,86.77512779046371,3.5034035347855053,20.447322265625,69.37543472714282,26.32040672320545,0.1258263170308745,0.0147895656359741,0.0944427395276964,0.1,0.5,0.5,0.88,0.89,0.9,0.1,0.09,0.9,20.185,23.215,1.05,1.0098681771625024,87.69571428571429,88.47
